id,lyrics,label
T1_TRAIN_0001,"Llama no importa la hora que yo estoy aquí, entre las cuatro paredes de mi habitación, y es importante al menos decirte, que esto de tu ausencia duele, y no sabes cuanto, ven aparece tan sólo comunícate, que cada hora es un golpe de desolación, es demasiado aburrido no estar a tu lado. Ven que mi alma no quiere dejarte ir, que los minutos me acechan, aquí todo es gris, que alrededor todo es miedo y desesperanza, ven que nunca imaginaba como era estar sola, que no es nada fácil cuando te derrotan, que no sé que hacer, y aquí no queda nada de nada. No me enseñaste cómo estar sin ti, ¿Y qué le digo yo a este corazón?, si tu te has ido y todo lo perdí, ¿Por dónde empiezo, si todo acabó?, ¿Cómo olvidarte si nunca aprendí?. Llama y devuélveme todo lo que un día fui, esta locura de verte se vuelve obsesión, cuando me invaden estos días tristes, siempre recuerdo mi vida, yo como te amo, ven que mi cuerpo la pasa extrañándote, que mis sentidos se encuentran fuera de control, es demasiado aburrido no estar a tu lado.",NM
T1_TRAIN_0002,"Pachin!. Viajera, te vas de puerta en puerta, buscando quien te quiera, viajera flor machita y destrichada, que has perdido tu belleza, sin dejar la primavera. Ni la sombra te pareces, de lo que fuistes un dia, hoy te tengo compasion, oigame mi amor!. Sufrimiento y soledad en tu vida si... eso lo que te espera. Entregandole a cualquiera, tus caricias ... mira pasajeras. Me expreso mi compasion, por tu condicion, y ya no te quiero viajera. Te vas de puerta en puerta, buscando quien te quiera. Hoy me alejo de ti, ya no te quiero a mi lado, mira morena. .... Oye agara la maleta, oye y vete para fuera!. A ti nunca te importo nada de mi, y tu lo sabes viajera!. Hoy reflejas en tu rostro, huellas de un triste pasado!. Has viajado Panama, Colombia y el Peru, y vienes de Venezuela. Tu tienes lo malo encima, por eso de ti ya yo! me fui mi nena!.",M
T1_TRAIN_0003,"Te amare toda la vida, todos los años, los meses y los dias, todas las horas, y todos los instantes, mientras pueda latir mi corazón. Tendras las flores de mi amor, en primavera, en el verano, aunmentara el calor con mi pasion, en el otoño.",NM
T1_TRAIN_0004,"Flor de vida, flor de vida, flor de vida, flor de vida, los paisajes cambian, las personas también, un chico de carácter agradable, de suicidio, puede grabarlo en vídeo, de suicidio, puede grabarlo en vídeo. Algo te atrae sin porqués, no se ve, cambia tu ser, da sed, caes en un cuarto sin pared, no es de ayer, te consume, sube en tu interior, es la maldad y el dolor que afloran sin condición, hay quien llora cuando nota su alma sucia y rota, la calma mora y flota, no se coge ni se toca, no se encoge, pero explota, idiota, el rencor brota, es peor que la farlopa, su olor queda en tu ropa, está detrás de todo, de cualquier modo, sin más, te puede encontrar, sólo duele por los poros al principio, sentimiento real y no ficticio, mongolo es verdad, es el inicio, miras y enfilas la salida que se estira, no respiras, y encima, eso propina un bajón en la autoestima, y te vuelves un cabrón que se fascina, por la ira, por el daño y los extraños que caminan, años atrás era imposible pensar, en follar con novia de alguno, que os una algo muy puro que abruma a cualquiera, sentimiento se esfuman, por querer romper su culo en un futuro zulo o duna. La oscuridad cubre mi piel y tu cuerpo también, los polos opuestos se atraen, los valores se caen, esa parte de mí no conoce días felices, se desinhibe, siente pavor por las cosas que ve, por eso escribe, y ¿sabes qué? simplemente es tener sed, miedo a la muerte, a las catástrofes, falta de fe, esa parte de mí nunca sonríe ni busca apoyo, no está muerta, todas las noches duerme en su hoyo, es una parte de mí que no conoces, pero sientes, es un secreto a voces y tú ya sabes que te miente, no busca nada en concreto, es un experto, y con frecuencia las personas me hacen perder el respeto, señora no es Dios, es un cartel que promociona el cáncer, con letras grandes y es la verdad, tiene sus propias reglas, no se conforma, se tranquiliza cuando lo beso, le doy forma como norma. Es una parte de mí que no puedo controlar, una parte de mi cuerpo que me impide respirar, ¿Quién te enseña a volar? No tengo apoyo, no está muerto y por las noches duerme dentro de un hoyo.",M
T1_TRAIN_0005,"ba-baby, muah, jajaja. Quiero que seas mía y nunca de nadie Baby, bebé, si sigo en tu vida fue para quedarme Tú sabe', un amor verdadero nunca se comparte, prometo darte todo y que nada te falte. Me enamoré de ti, de tu figura, de tu cara, y ya no sé qué hacer, me voy a enloquecer, dime si sigo aquí, si entrego todo lo que tengo, o me voy de aquí y te quedas sin mí. Contéstame el teléfono, mami, no digas que no, mira que estoy solo y que te extraño en mi habitación, yo sé que todavía escuchas Aventura, y lo que siento por ti no es ninguna obsesión. Oye, mami, espérame en la puerta, que voy a recogerte, espero que estés dispuesta, que vine a recogerte, dime qué te cuesta. Me enamoré de ti, no sé si tú de mí, yao', baby, mamacita, dime si sigo aquí luchando para ver si algo te hago sentir, escucha, jaja, cuando el amor llega a tu vida, llega para quedarse, de parte de Maluma, ba-ba-baby, muah, jajaja.",M
T1_TRAIN_0006,"Dejame pintarcon mis caricias, un mundo de ilusiones que jamás conocerías, déjame crear entre mis brazos, ese castillo azul que tu soñaste desde niña. Y déjame calmar ese deseo que tus labios, me pide a gritos que nunca me alejé de tu lado. Quiero regalarte mis manías, y el eco de mi voz para que te haga compañía, quiero despertarte cada día, con nuevas melodías que tus labios hoy me inspiran. Yo sé lo que has sufrido con amores del pasado, y las partes de tu cuerpo que con otros has malgastado, yo se que has perdido la esperanza pero déjame intentarlo. Déjate llevar, y piérdete en mis labios sin dudar, dejame intentar, amarte cada día un poco más, sin relojes de tiempos perdidos, si me dejas me lanzo al vacío, en busca de las redes de tu amor.",M
T1_TRAIN_0007,"Quieres saber, si todavía te sigo pensando, si de nuevo, me he enamorado, quieres ocultar y olvidar, todo lo que ha pasado, el tiempo no ha cambiado, el tiempo nos ha marcado. Todos los días soportando, todas tu quejas, creías que de mi vida, eras la dueña, difícil va a ser que yo quiera, volver a intentarlo, ahora que te vuelvo a encontrar, ya lo tengo bien decidido. Ya no soy, el tonto idiota, que se enamoro, de una locura, de una obsesión, quiero sеr libre, y brillar como el sol, espero no volvеr a encontrarte, ya he logrado borrarte, he logrado sacarte de mis sueños, el amor es, libertad. Me olvide del paisaje, por mirar el camino, y olvide los amigos, después de todo lo que he sufrido, pude comprender, que nadie es dueño de nadie, y nadie nunca lo será.",NM
T1_TRAIN_0008,"No quiero separarme de ti, ni siquiera un momento, no quiero perder el tiempo. Ay! Llévame despacio que no hay prisa, ve dejando en mi camisa una ruta de besos, que me lleve al mismo cielo. Ay! Pégate sin miedo con malicia, lléname de tu sonrisa el corazón, a ritmo de tu cuerpo. La música se adueña de mi, yo me pierdo en tu cuerpo, tú me quemas con tu fuego. Los dos en un solo cuerpo, bailando lento.",NM
T1_TRAIN_0009,"Vamos a ver si es verdad, que tú sirves, Caridad, para arrollar, se escucha el ritmo sonoro, quítate de la acera, de tu chancleta sin par, mira que te tumbo, cuando la clave de oro, suena la conga al pasar, ah, eh..., baila mulata sandunguera, luce tu falda almidoná, mueve tu rítmica cadera, sigue la conga que se va, entre esa bulla hechicera, tu alma difundida еstá, que pero que viene La Sonora, arrollando por el mundo.",NM
T1_TRAIN_0010,"tickets as low as $42. Aunque no te importe nada, la vida de un delfín, nadarás a fin de siglo, en tu pecera. Si no sabes si eres rata, o una masa amorfa más, sólo basta darle un beso al espejo. Si no quieres entender, que invernando están las brujas, amárrate a una escoba y vuela lejos, lejos. Muy lejos, aunque no puedas, aunque te mueras.",NM
T1_TRAIN_0011,"Juro, lo juro, juro, lo juro. Amarte a ti es como adivinar lo que dirás, otra historia inventarás, ¿Qué pudo ser?, ¿Por qué habrás cambiado así?, no quiero ser quien tenga que dudar de ti. Me enamoré de tu sinceridad, pero sé bien que ya no existe más, hazme sentir que puedo creer en ti, si no es así, ya no podré seguir. Con mis sentimientos, tú estás jugando, así no puedo seguir.",NM
T1_TRAIN_0012,"Uh-uh-uh. Tú quieres conmigo, pero tu corazón tiene dueño, eso ya no sirve, llévalo a una casa de empeño Yeah, y si no sabe' olvidar, tranquila, yo te enseño Enseño, trato de no pensarte, pero me sale' hasta en los sueño' Yeah. Yo te sigo la máquina, sé que piensa' en él, pero ese cabrón no merece tus lágrima', solo déjate de él, yo hago lo demá', baby, pasa la página Uh-uh, ya tú no ere' de él, periódico de ayer, dile que tiene' a alguien má', que te lo hace mejor y no pelea por nada ¡Rra!. Baby, yo 'toy para ti, pero dime tú, si quiere' que esto avance, cámbiame la lu', la puerta del ataúd déjasela abierta, que esa relación ya está muerta Wuh, dice que te quiere y mira su actitud, baby, tú resalta' entre la multitud, tú no eres común, tú ere' otra vuelta, pide pura' cosa' rica', mami, está compuesta, la noche se presta, no quiero indirecta', yo quería amarrarte pero tú anda' suelta, y antes que te vaya', mami, pon la webcam, quítate la ropa para verte completa, tú eres loca, más, pero yo soy igual, ese cabrón te resta, yo te voy a sumar, porque tú eres cara como un Audemars, con el fondo azul, igualita al mar. Bebé, tranquila, no llores por él, yo puedo ser tu paño, pasamo' de ser extraño' a tirarno' tres polvo' en el mismo baño, y sabes que si te toco se te forma un charco, te compro el mundo entero, yo vacío el banco, te saco la G-Wagon, asiento' en blanco, quizá somo' diferentes, pero yo me adapto, baby, no te de' mala vida, de esa depresión yo soy la única salida, cuando te lo pongo tú te sientes viva, bloquea a ese cabrón para que ni te escriba.",M
T1_TRAIN_0013,"Pasa y siéntate, tranquilízate, al fin ya estás aquí, ¿qué más te da?. Imagínate que yo no soy yo, que soy el otro hombre que esperabas ver, un desconocido que te ha escrito un verso, y te dibujó la Luna en un trozo de papel, un amante improvisado, misterioso, apasionado, que te dio una cita en este hotel. Desnúdate ahora y apaga la luz un instante, y hazme el amor como lo haces con esos amantes, te juro que hoy es la última vez que te burlas de mí, que me engañas, y fueron mis manos las que te escribieron la carta, han sido mis celos los que te pusieron la trampa, y es mi corazón el que llora de pena por dentro, pero te dejo y me marcho, para siempre.",NM
T1_TRAIN_0014,"Que Dios me bendiga, por toda la vida, me dicen candela, yo toy encendida, hell yeah, i don’t care, natural Goddess air, brujas, we ride, east side, west side. Despierta la diosa, es una experiencia religiosa, reza con el alma dichosa, eres magia, eres cosmica, eres poderosa, bendita eres entre todas la diosas. Mi fuerza, viene de mi ser, placer despierta mi poder, mi gozo mueve el universo, yo soy su verso mas perverso.",NM
T1_TRAIN_0015,"La luz de la tarde venia de ti, cuidabas las flores y al viejo jardín, yo andaba despacio, simulando no mirar, y tu me llamabas y me dabas de tu pan. Soy pobre del mundo, mendigo de Dios, manchado de amores, ladrón de calor. Y vivo en tu puerta, para verte tan solo pasar.",NM
